week_date,week_count,sui1,sui2,sui3,neg,pos,pre
2009-06-14,18,26,0,25,1.441,1.376,18
2009-06-21,9,46,0,29,1.498,1.215,9
2009-06-28,12,0,0,26,0.917,0.681,12
2009-07-05,14,48,100,69,1.458,0.507,14
2009-07-12,16,0,0,25,0.807,0.621,16
2009-07-19,14,58,86,0,0.653,1.316,14
2009-07-26,13,25,0,56,1.218,0.851,13
2009-08-02,12,34,0,91,0.792,0.703,12
2009-08-09,4,25,0,26,0.694,0.952,4
2009-08-16,12,0,0,29,1.009,0.826,12
2009-08-23,18,47,0,61,1.368,0.609,18
2009-08-30,19,24,0,25,1.271,0.558,19
2009-09-06,9,0,0,91,0.94,1.004,9
2009-09-13,11,35,80,0,1.009,0.727,11
2009-09-20,10,39,0,61,1.044,1.015,10
2009-09-27,11,0,0,27,0.931,0.778,11
2009-10-04,10,36,0,0,1.452,1.217,10
2009-10-11,10,24,96,42,0.983,1.259,10
2009-10-18,14,28,0,27,1.412,1.49,14
2009-10-25,14,0,0,69,0.714,1.035,14
2009-11-01,9,0,0,49,1.053,1.261,9
2009-11-08,14,30,0,61,0.569,1.365,14
2009-11-15,16,26,80,32,0.509,1.184,16
2009-11-22,8,0,100,32,1.071,1.245,8
2009-11-29,11,30,100,69,0.694,0.569,11
2009-12-06,14,0,0,28,1.138,1.497,14
2009-12-13,13,47,0,61,1.199,1.349,13
2009-12-20,19,47,100,25,0.713,0.782,19
2009-12-27,9,47,0,56,0.78,1.303,9
2010-01-03,17,30,0,61,1.187,0.577,17
2010-01-10,15,27,0,32,0.515,0.77,15
2010-01-17,8,0,100,42,0.849,0.532,8
2010-01-24,12,39,92,42,1.44,1.124,12
2010-01-31,14,0,0,32,1.078,1.172,14
2010-02-07,21,25,78,26,0.856,0.784,21
2010-02-14,15,27,80,27,1.184,1.016,15
2010-02-21,14,35,0,0,1.126,0.724,14
2010-02-28,21,38,0,42,1.289,0.678,21
2010-03-07,15,36,0,85,0.705,1.347,15
2010-03-14,8,47,0,32,0.78,1.28,8
2010-03-21,9,25,0,28,0.677,0.791,9
2010-03-28,11,30,0,26,0.747,0.598,11
2010-04-04,11,0,0,29,0.509,1.141,11
2010-04-11,14,39,100,56,1.197,0.923,14
2010-04-18,13,25,0,50,0.761,1.313,13
2010-04-25,12,0,0,26,0.93,0.974,12
2010-05-02,11,0,0,61,1.374,0.728,11
2010-05-09,15,35,78,0,0.768,0.912,15
2010-05-16,14,39,100,61,1.226,1.192,14
2010-05-23,16,0,0,79,0.96,0.746,16
2010-05-30,21,58,100,26,1.336,0.527,21
2010-06-06,15,39,100,25,1.191,0.58,15
2010-06-13,15,36,0,79,1.21,0.918,15
2010-06-20,12,24,80,0,1.449,0.837,12
2010-06-27,17,0,0,42,0.946,1.364,17
2010-07-04,8,0,0,31,1.422,0.687,8
2010-07-11,16,46,0,56,1.284,1.468,16
2010-07-18,12,52,0,32,0.619,1.377,12
2010-07-25,19,38,0,61,1.047,1.026,19
2010-08-01,11,100,80,91,1.491,0.749,11
2010-08-08,13,0,0,0,1.259,1.077,13
2010-08-15,14,47,0,49,1.106,1.124,14
2010-08-22,12,25,0,29,1.254,0.864,12
2010-08-29,8,25,78,32,1.012,0.741,8
2010-09-05,13,25,80,41,1.077,0.701,13
2010-09-12,15,0,100,0,0.798,1.055,15
2010-09-19,13,0,0,41,0.903,0.987,13
2010-09-26,18,50,0,0,1.438,0.809,18
2010-10-03,17,25,100,0,0.948,0.794,17
2010-10-10,16,26,100,29,1.027,0.52,16
2010-10-17,14,34,0,32,1.082,0.965,14
2010-10-24,9,47,0,27,1.28,1.073,9
2010-10-31,13,24,0,41,1.128,0.681,13
2010-11-07,10,0,0,32,1.34,1.472,10
2010-11-14,18,0,0,42,1.137,1.123,18
2010-11-21,16,28,100,32,1.098,1.274,16
2010-11-28,19,0,0,29,1.128,1.068,19
2010-12-05,11,38,0,91,0.765,1.278,11
2010-12-12,26,52,100,32,1.276,0.945,26
2010-12-19,11,30,78,29,0.946,1.402,11
2010-12-26,13,46,100,61,0.967,1.171,13
2011-01-02,13,35,78,41,1.188,1.305,13
2011-01-09,13,36,0,56,1.419,1.35,13
2011-01-16,10,46,0,32,1.243,0.628,10
2011-01-23,13,28,80,91,0.925,0.694,13
2011-01-30,7,26,100,29,1.435,0.55,7
2011-02-06,15,36,80,25,0.692,0.504,15
2011-02-13,14,52,0,32,1.177,1.301,14
2011-02-20,17,25,0,32,1.003,1.002,17
2011-02-27,11,0,100,85,0.918,1.485,11
2011-03-06,15,52,0,61,0.785,0.716,15
2011-03-13,7,39,100,47,1.462,0.637,7
2011-03-20,10,0,0,0,1.071,1.272,10
2011-03-27,12,0,0,32,1.169,0.549,12
2011-04-03,15,30,100,79,0.881,0.578,15
2011-04-10,16,47,0,91,0.788,1.45,16
2011-04-17,12,52,0,30,1.037,0.731,12
2011-04-24,12,0,96,47,0.69,1.402,12
2011-05-01,9,0,0,91,0.848,1.442,9
2011-05-08,18,52,0,0,1.229,0.605,18
2011-05-15,12,25,0,29,0.831,0.616,12
2011-05-22,13,0,0,26,0.789,0.507,13
2011-05-29,11,35,0,56,0.917,1.377,11
2011-06-05,14,0,100,29,0.768,0.706,14
2011-06-12,9,24,0,56,1.245,0.819,9
2011-06-19,12,69,0,32,1.058,0.615,12
2011-06-26,11,25,0,0,0.794,0.725,11
2011-07-03,13,28,0,26,1.161,0.849,13
2011-07-10,15,38,0,26,1.426,0.683,15
2011-07-17,13,24,100,61,1.042,1.089,13
2011-07-24,12,30,0,50,1.099,0.752,12
2011-07-31,16,36,0,91,1.209,1.421,16
2011-08-07,20,28,0,56,0.874,0.519,20
2011-08-14,14,35,0,36,1.455,0.621,14
2011-08-21,7,0,0,25,1.025,1.215,7
2011-08-28,11,25,0,29,0.575,0.66,11
2011-09-04,11,30,96,27,1.194,0.676,11
2011-09-11,14,30,80,25,0.792,1.252,14
2011-09-18,10,25,0,25,1.366,1.037,10
2011-09-25,12,28,100,29,1.419,0.64,12
2011-10-02,11,24,100,56,0.945,1.006,11
2011-10-09,13,26,0,79,0.739,1.429,13
2011-10-16,11,0,0,0,0.634,1.191,11
2011-10-23,9,27,86,29,0.663,0.987,9
2011-10-30,11,0,0,28,1.074,0.72,11
2011-11-06,10,0,0,25,0.523,1.095,10
2011-11-13,12,0,0,41,1.016,1.012,12
2011-11-20,14,25,0,28,1.354,0.589,14
2011-11-27,13,27,0,49,1.289,0.657,13
2011-12-04,9,0,85,26,0.574,1.368,9
2011-12-11,6,30,89,28,1.142,0.603,6
2011-12-18,14,0,92,49,0.695,0.848,14
2011-12-25,11,0,0,91,0.986,0.772,11
2012-01-01,5,0,89,61,0.798,1.157,5
2012-01-08,7,0,80,26,0.883,0.945,7
2012-01-15,13,35,0,41,1.453,0.601,13
2012-01-22,14,47,0,26,0.649,1.254,14
2012-01-29,5,25,0,85,1.226,0.758,5
2012-02-05,16,52,100,28,1.424,1.175,16
2012-02-12,9,36,0,85,0.813,0.982,9
2012-02-19,8,52,86,27,0.852,0.656,8
2012-02-26,11,24,0,61,0.523,0.641,11
2012-03-04,23,47,0,26,0.598,0.546,23
2012-03-11,11,47,78,56,1.26,1.455,11
2012-03-18,11,28,0,25,1.444,1.158,11
2012-03-25,10,25,100,38,1.253,1.151,10
2012-04-01,10,39,0,36,1.381,0.664,10
